gender,subCategory,articleType,baseColour,season,usage
women,loungewear and nightwear,lounge pants,blue,winter,casual
women,topwear,tops,magenta,summer,casual
women,topwear,tops,olive,summer,casual
women,saree,sarees,beige,fall,ethnic
women,dress,dresses,white,summer,casual
men,topwear,tshirts,blue,summer,casual
women,topwear,kurtas,cream,summer,ethnic
women,topwear,tops,white,summer,casual
men,topwear,tshirts,blue,summer,sports
men,bottomwear,track pants,navy blue,fall,casual
men,topwear,tshirts,red,summer,casual
women,topwear,tunics,red,summer,casual
men,bottomwear,jeans,blue,fall,casual
men,topwear,sweaters,blue,summer,casual
women,apparel set,kurta sets,purple,fall,ethnic
women,bottomwear,trousers,brown,summer,casual
men,topwear,shirts,burgundy,fall,casual
men,topwear,tshirts,brown,fall,casual
men,innerwear,briefs,grey melange,summer,casual
women,bottomwear,jeans,blue,summer,casual
men,bottomwear,trousers,brown,fall,casual
boys,topwear,tshirts,yellow,fall,casual
girls,topwear,tops,red,summer,casual
women,loungewear and nightwear,night suits,pink,summer,casual
women,bottomwear,track pants,black,summer,casual
men,topwear,shirts,grey,summer,formal
women,loungewear and nightwear,lounge pants,black,winter,casual
men,topwear,shirts,blue,summer,casual
women,bottomwear,skirts,grey,summer,casual
men,topwear,tshirts,white,summer,sports
women,topwear,kurtas,yellow,summer,ethnic
women,topwear,tops,grey,summer,casual
women,saree,sarees,rust,fall,ethnic
men,innerwear,briefs,black,summer,casual
girls,bottomwear,capris,olive,summer,casual
men,topwear,tshirts,grey,fall,casual
men,topwear,tshirts,maroon,summer,casual
men,bottomwear,tracksuits,black,fall,sports
women,topwear,tshirts,red,summer,casual
women,topwear,kurtas,black,summer,ethnic
men,bottomwear,track pants,blue,fall,casual
women,bottomwear,capris,black,summer,sports
unisex,bottomwear,swimwear,blue,fall,sports
women,bottomwear,shorts,red,summer,casual
men,topwear,tshirts,black,summer,sports
women,topwear,shirts,blue,summer,casual
men,topwear,shirts,green,summer,casual
men,bottomwear,trousers,beige,summer,casual
boys,topwear,tshirts,red,summer,casual
men,bottomwear,jeans,black,summer,casual
men,topwear,tshirts,blue,spring,casual
women,topwear,tops,pink,fall,casual
men,topwear,shirts,blue,summer,ethnic
women,innerwear,bra,rose,summer,casual
women,topwear,tops,navy blue,summer,casual
women,innerwear,briefs,red,summer,casual
men,topwear,tshirts,navy blue,winter,casual
women,topwear,kurtas,pink,fall,ethnic
women,topwear,tops,grey,fall,casual
women,topwear,tshirts,pink,summer,sports
men,bottomwear,track pants,charcoal,winter,casual
men,topwear,shirts,maroon,fall,formal
men,topwear,sweatshirts,black,summer,casual
men,innerwear,innerwear vests,red,summer,casual
women,bottomwear,shorts,grey melange,winter,casual
women,topwear,tshirts,black,fall,casual
women,topwear,tunics,black,summer,casual
men,innerwear,innerwear vests,maroon,summer,casual
women,topwear,kurtas,off white,summer,ethnic
men,topwear,tshirts,purple,fall,casual
men,topwear,tshirts,blue,fall,sports
women,topwear,kurtas,multi,summer,ethnic
girls,dress,dresses,black,summer,casual
women,innerwear,bra,white,winter,casual
women,topwear,kurtas,blue,summer,ethnic
women,bottomwear,shorts,brown,summer,casual
women,topwear,shirts,green,summer,casual
women,topwear,tunics,pink,summer,casual
women,topwear,tunics,purple,fall,casual
women,topwear,kurtas,maroon,fall,ethnic
men,topwear,tshirts,orange,summer,casual
women,topwear,tshirts,green,summer,casual
girls,bottomwear,capris,pink,summer,casual
men,bottomwear,track pants,grey,fall,sports
women,loungewear and nightwear,nightdress,lime green,summer,casual
women,topwear,shirts,teal,summer,casual
women,dress,dresses,grey,fall,casual
men,topwear,tshirts,green,summer,casual
women,bottomwear,trousers,orange,summer,casual
women,loungewear and nightwear,baby dolls,pink,winter,casual
women,topwear,shirts,grey,fall,casual
women,topwear,tshirts,orange,fall,casual
girls,bottomwear,shorts,pink,summer,casual
women,innerwear,bra,peach,summer,casual
women,topwear,kurtas,brown,fall,ethnic
women,bottomwear,leggings,purple,fall,ethnic
men,bottomwear,track pants,blue,fall,sports
women,topwear,kurtas,blue,fall,ethnic
men,bottomwear,trousers,navy blue,winter,formal
men,topwear,shirts,maroon,fall,casual
men,innerwear,briefs,navy blue,summer,casual
men,topwear,sweatshirts,navy blue,fall,casual
boys,topwear,shirts,red,summer,casual
women,topwear,tshirts,rust,summer,casual
men,bottomwear,trousers,charcoal,fall,formal
women,innerwear,bra,brown,summer,casual
men,innerwear,innerwear vests,beige,summer,casual
men,topwear,tshirts,red,summer,sports
women,topwear,shirts,blue,summer,formal
women,topwear,kurtas,pink,summer,ethnic
boys,topwear,tshirts,white,summer,casual
men,topwear,shirts,beige,fall,casual
men,topwear,tshirts,grey,fall,sports
women,topwear,jackets,blue,summer,casual
women,topwear,shirts,navy blue,summer,casual
men,topwear,tshirts,brown,summer,casual
men,topwear,jackets,green,fall,casual
men,topwear,sweaters,grey,fall,casual
men,topwear,tshirts,red,winter,casual
men,topwear,tshirts,green,fall,casual
women,topwear,kurtas,khaki,summer,ethnic
women,innerwear,camisoles,red,winter,casual
girls,topwear,tshirts,yellow,summer,casual
women,topwear,kurtis,multi,summer,ethnic
women,dress,dresses,black,summer,casual
women,topwear,tshirts,teal,summer,casual
men,topwear,shirts,cream,fall,formal
men,topwear,shirts,blue,fall,formal
men,topwear,tshirts,cream,summer,casual
women,saree,sarees,sea green,fall,ethnic
women,topwear,tops,blue,fall,casual
men,topwear,shirts,white,fall,formal
women,topwear,tshirts,navy blue,summer,casual
boys,bottomwear,jeans,black,summer,casual
men,topwear,jackets,white,fall,casual
men,topwear,sweatshirts,grey,fall,casual
women,topwear,kurtas,white,summer,ethnic
women,topwear,tops,teal,summer,casual
women,topwear,kurtis,black,summer,ethnic
women,dress,dresses,yellow,fall,casual
women,topwear,shirts,red,fall,casual
women,loungewear and nightwear,nightdress,green,winter,casual
men,bottomwear,trousers,grey,summer,casual
men,topwear,sweaters,red,fall,casual
women,topwear,tops,beige,summer,casual
men,topwear,shirts,navy blue,summer,casual
women,topwear,tunics,brown,summer,casual
girls,dress,dresses,navy blue,summer,casual
women,bottomwear,capris,blue,summer,sports
women,loungewear and nightwear,lounge pants,multi,summer,casual
men,topwear,shirts,orange,fall,casual
women,topwear,sweatshirts,pink,fall,casual
men,topwear,tshirts,charcoal,fall,casual
boys,topwear,tshirts,blue,summer,sports
women,saree,sarees,khaki,fall,ethnic
women,bottomwear,leggings,brown,fall,casual
men,bottomwear,jeans,white,summer,casual
men,topwear,sweatshirts,black,fall,sports
women,apparel set,kurta sets,pink,fall,ethnic
men,loungewear and nightwear,night suits,black,summer,casual
men,topwear,shirts,pink,summer,casual
women,innerwear,bra,maroon,summer,casual
boys,topwear,tshirts,white,fall,casual
men,topwear,tshirts,yellow,summer,sports
women,dress,dresses,multi,summer,casual
men,topwear,shirts,black,fall,formal
women,topwear,tshirts,blue,summer,casual
women,topwear,tshirts,grey,summer,casual
women,bottomwear,leggings,beige,fall,ethnic
men,topwear,tshirts,red,fall,sports
women,topwear,kurtas,white,fall,ethnic
women,topwear,shirts,black,fall,casual
boys,topwear,tshirts,blue,summer,casual
women,topwear,sweatshirts,pink,fall,sports
women,topwear,tshirts,white,fall,casual
men,topwear,shirts,purple,summer,casual
men,topwear,jackets,olive,fall,casual
women,saree,sarees,red,fall,ethnic
women,innerwear,briefs,lavender,summer,casual
women,topwear,tops,black,fall,casual
women,topwear,kurtas,magenta,summer,ethnic
women,topwear,tops,cream,summer,casual
women,dress,dresses,pink,summer,casual
men,innerwear,trunk,black,summer,casual
women,topwear,shirts,white,fall,smart casual
girls,dress,dresses,magenta,summer,casual
women,dress,dresses,grey melange,summer,casual
men,topwear,tshirts,blue,winter,sports
women,topwear,tunics,blue,summer,casual
women,topwear,kurtas,purple,summer,ethnic
women,topwear,tunics,pink,summer,ethnic
women,topwear,jackets,black,summer,casual
women,topwear,tops,red,summer,casual
men,bottomwear,trousers,black,summer,casual
men,topwear,tshirts,peach,fall,casual
women,bottomwear,shorts,pink,summer,sports
men,bottomwear,trousers,grey,fall,casual
women,dress,jumpsuit,olive,summer,casual
women,topwear,tunics,yellow,summer,casual
women,topwear,tunics,navy blue,fall,casual
women,topwear,kurtis,purple,fall,ethnic
men,topwear,shirts,red,summer,casual
men,topwear,shirts,white,summer,formal
men,loungewear and nightwear,night suits,blue,summer,casual
men,topwear,shirts,grey,summer,casual
women,bottomwear,track pants,grey,summer,casual
girls,topwear,tshirts,grey,fall,casual
men,topwear,tshirts,green,winter,casual
women,topwear,kurtas,maroon,summer,ethnic
women,topwear,kurtis,white,fall,ethnic
women,bottomwear,leggings,blue,fall,casual
men,topwear,tshirts,mustard,fall,casual
men,innerwear,innerwear vests,blue,summer,casual
men,topwear,jackets,red,fall,sports
men,bottomwear,trousers,brown,fall,formal
men,topwear,shirts,grey,fall,casual
men,innerwear,trunk,beige,summer,casual
men,topwear,sweaters,white,fall,casual
women,bottomwear,capris,blue,winter,casual
men,bottomwear,shorts,grey,summer,casual
women,innerwear,bra,pink,winter,casual
women,bottomwear,trousers,black,summer,casual
boys,topwear,tshirts,red,fall,casual
women,topwear,tunics,multi,fall,casual
women,loungewear and nightwear,nightdress,purple,winter,casual
boys,bottomwear,shorts,grey,summer,casual
women,topwear,tops,peach,summer,casual
women,innerwear,briefs,green,summer,casual
men,innerwear,innerwear vests,grey melange,summer,casual
men,bottomwear,trousers,coffee brown,fall,formal
men,topwear,suspenders,brown,summer,formal
women,innerwear,bra,skin,summer,casual
men,bottomwear,jeans,navy blue,summer,casual
women,innerwear,briefs,multi,winter,casual
women,topwear,tops,lavender,fall,casual
men,topwear,jackets,grey,fall,casual
women,bottomwear,track pants,pink,summer,sports
women,apparel set,kurta sets,cream,fall,ethnic
unisex,topwear,tshirts,green,summer,casual
men,topwear,shirts,brown,summer,formal
men,bottomwear,trousers,black,fall,casual
men,topwear,jackets,navy blue,fall,sports
men,topwear,sweatshirts,black,fall,casual
women,topwear,dupatta,multi,summer,ethnic
women,bottomwear,capris,red,summer,casual
women,bottomwear,trousers,black,fall,casual
women,topwear,shirts,white,summer,casual
women,topwear,tshirts,white,fall,sports
men,bottomwear,jeans,grey,summer,casual
girls,dress,dresses,blue,summer,casual
women,topwear,dupatta,brown,summer,ethnic
women,topwear,shirts,purple,fall,casual
women,topwear,tshirts,pink,winter,casual
boys,bottomwear,capris,blue,summer,casual
women,bottomwear,skirts,blue,summer,casual
girls,bottomwear,skirts,red,summer,casual
men,topwear,shirts,orange,summer,formal
women,bottomwear,shorts,blue,summer,casual
women,saree,sarees,maroon,summer,ethnic
men,topwear,shirts,blue,winter,casual
women,innerwear,bra,black,winter,casual
men,topwear,suspenders,black,summer,formal
women,loungewear and nightwear,nightdress,black,winter,casual
girls,bottomwear,shorts,navy blue,summer,casual
men,innerwear,briefs,brown,summer,casual
women,saree,sarees,yellow,fall,ethnic
women,topwear,tshirts,white,summer,casual
men,topwear,shirts,yellow,summer,casual
women,innerwear,briefs,red,winter,casual
women,innerwear,briefs,grey,summer,casual
men,topwear,jackets,grey,summer,casual
women,saree,sarees,blue,fall,ethnic
women,topwear,kurtas,purple,fall,ethnic
women,dress,dresses,black,fall,casual
boys,topwear,jackets,blue,summer,casual
women,dress,dresses,pink,fall,casual
women,topwear,tops,red,fall,casual
women,apparel set,kurta sets,orange,fall,ethnic
women,apparel set,kurta sets,green,fall,ethnic
men,loungewear and nightwear,night suits,white,summer,casual
women,loungewear and nightwear,robe,maroon,summer,casual
boys,bottomwear,shorts,khaki,summer,casual
women,topwear,tops,lavender,summer,casual
women,bottomwear,salwar and dupatta,white,summer,ethnic
women,saree,sarees,black,fall,ethnic
boys,topwear,tshirts,black,fall,casual
girls,bottomwear,skirts,pink,summer,casual
women,innerwear,bra,pink,summer,casual
women,bottomwear,patiala,white,summer,ethnic
men,innerwear,briefs,charcoal,summer,casual
women,dress,dresses,cream,summer,casual
men,bottomwear,tracksuits,grey,summer,sports
men,bottomwear,shorts,black,summer,casual
women,saree,sarees,white,fall,ethnic
men,bottomwear,track pants,black,summer,casual
women,bottomwear,stockings,black,fall,casual
women,saree,sarees,turquoise blue,fall,ethnic
women,loungewear and nightwear,night suits,red,winter,casual
women,topwear,kurtas,black,fall,ethnic
girls,bottomwear,shorts,blue,summer,casual
women,topwear,kurtis,brown,summer,ethnic
girls,topwear,tshirts,green,fall,casual
men,topwear,tshirts,lavender,summer,casual
women,topwear,kurtas,orange,summer,ethnic
men,innerwear,trunk,navy blue,summer,casual
girls,bottomwear,shorts,green,summer,casual
women,bottomwear,track pants,black,fall,sports
unisex,bottomwear,jeans,blue,fall,casual
men,innerwear,trunk,navy blue,winter,casual
boys,bottomwear,capris,yellow,summer,casual
men,topwear,sweatshirts,green,fall,casual
women,topwear,kurtas,beige,fall,ethnic
women,bottomwear,track pants,blue,fall,sports
men,topwear,kurtas,blue,summer,ethnic
men,topwear,tshirts,yellow,fall,sports
unisex,topwear,tshirts,blue,fall,casual
women,dress,dresses,green,fall,casual
women,topwear,tshirts,red,fall,casual
boys,topwear,tshirts,orange,fall,casual
men,topwear,tshirts,orange,summer,sports
women,bottomwear,skirts,white,summer,casual
unisex,topwear,tshirts,red,summer,casual
women,topwear,tshirts,yellow,summer,casual
men,topwear,tshirts,multi,fall,casual
women,topwear,dupatta,orange,summer,ethnic
men,topwear,sweatshirts,red,fall,casual
women,topwear,kurtas,red,fall,ethnic
women,bottomwear,jeans,blue,fall,casual
women,innerwear,briefs,pink,summer,casual
men,topwear,sweatshirts,white,fall,sports
boys,bottomwear,shorts,white,summer,casual
women,apparel set,kurta sets,charcoal,summer,ethnic
men,topwear,shirts,purple,summer,formal
women,innerwear,bra,lavender,summer,casual
men,bottomwear,trousers,grey,fall,formal
men,topwear,tshirts,pink,fall,casual
women,innerwear,bra,nude,summer,casual
men,topwear,tshirts,off white,fall,casual
men,topwear,sweatshirts,grey,summer,casual
men,bottomwear,trousers,khaki,fall,casual
women,innerwear,bra,maroon,winter,casual
women,innerwear,briefs,cream,summer,casual
men,topwear,tshirts,burgundy,summer,casual
men,bottomwear,track pants,navy blue,summer,sports
women,innerwear,briefs,brown,winter,casual
men,topwear,tshirts,cream,fall,casual
men,topwear,sweaters,navy blue,fall,casual
men,topwear,tshirts,orange,fall,casual
women,saree,sarees,multi,fall,ethnic
women,loungewear and nightwear,nightdress,peach,winter,casual
women,bottomwear,leggings,purple,fall,casual
men,topwear,shirts,beige,summer,casual
women,innerwear,briefs,white,summer,casual
girls,bottomwear,skirts,blue,summer,casual
women,topwear,tshirts,yellow,fall,sports
boys,bottomwear,jeans,blue,summer,casual
boys,topwear,tshirts,black,summer,casual
women,topwear,tshirts,orange,summer,casual
women,saree,sarees,orange,fall,ethnic
women,dress,jumpsuit,blue,winter,casual
men,innerwear,boxers,grey,summer,casual
women,topwear,tunics,green,fall,ethnic
boys,topwear,shirts,multi,summer,casual
women,bottomwear,capris,black,summer,casual
men,topwear,shirts,blue,summer,formal
women,topwear,shirts,grey,summer,formal
men,topwear,shirts,navy blue,fall,formal
women,topwear,shirts,pink,summer,casual
men,topwear,tshirts,maroon,fall,casual
men,bottomwear,tracksuits,charcoal,summer,sports
men,innerwear,trunk,red,summer,casual
women,saree,sarees,magenta,fall,ethnic
men,topwear,tshirts,off white,summer,casual
men,bottomwear,trousers,white,fall,formal
women,loungewear and nightwear,nightdress,multi,summer,casual
women,topwear,tshirts,peach,summer,casual
men,bottomwear,shorts,blue,summer,sports
women,topwear,sweaters,red,fall,casual
women,topwear,kurtas,grey,summer,ethnic
men,bottomwear,shorts,blue,fall,casual
women,topwear,kurtis,orange,summer,ethnic
women,apparel set,kurta sets,yellow,fall,ethnic
women,topwear,kurtas,navy blue,fall,ethnic
women,bottomwear,salwar and dupatta,cream,summer,ethnic
men,bottomwear,jeans,navy blue,fall,casual
men,topwear,tshirts,green,summer,sports
women,topwear,tops,navy blue,fall,casual
women,innerwear,bra,nude,winter,casual
women,apparel set,kurta sets,black,fall,ethnic
men,bottomwear,tracksuits,blue,summer,casual
women,bottomwear,shorts,blue,fall,casual
men,loungewear and nightwear,night suits,grey melange,summer,casual
women,innerwear,briefs,maroon,summer,casual
women,topwear,tunics,orange,fall,casual
men,bottomwear,shorts,grey,fall,sports
men,loungewear and nightwear,lounge pants,black,summer,casual
women,innerwear,briefs,purple,winter,casual
girls,topwear,tops,grey,summer,casual
men,topwear,sweatshirts,grey melange,summer,casual
boys,bottomwear,shorts,maroon,summer,sports
women,topwear,kurtas,cream,fall,ethnic
women,bottomwear,capris,blue,summer,casual
women,topwear,shirts,black,summer,casual
girls,topwear,tshirts,yellow,fall,casual
unisex,topwear,tshirts,pink,summer,casual
men,innerwear,briefs,grey melange,winter,casual
men,topwear,shirts,green,winter,casual
girls,bottomwear,capris,blue,summer,casual
women,topwear,tshirts,yellow,fall,casual
girls,bottomwear,jeans,navy blue,summer,casual
men,topwear,tshirts,green,fall,sports
women,bottomwear,leggings,olive,summer,casual
unisex,topwear,tshirts,orange,fall,casual
men,topwear,tshirts,olive,summer,casual
women,topwear,dupatta,purple,summer,ethnic
women,topwear,jackets,black,fall,casual
women,topwear,kurtas,orange,fall,ethnic
women,loungewear and nightwear,lounge pants,pink,summer,casual
boys,bottomwear,shorts,blue,summer,casual
men,bottomwear,trousers,navy blue,fall,casual
women,bottomwear,track pants,cream,summer,casual
women,loungewear and nightwear,lounge pants,blue,summer,casual
women,saree,sarees,purple,fall,ethnic
men,topwear,tshirts,charcoal,summer,casual
girls,topwear,tshirts,orange,fall,casual
men,topwear,shirts,olive,fall,casual
women,topwear,tops,multi,summer,casual
women,topwear,kurtis,blue,fall,ethnic
girls,topwear,tshirts,purple,summer,casual
men,loungewear and nightwear,lounge pants,navy blue,summer,casual
women,innerwear,bra,beige,winter,casual
women,topwear,kurtis,white,summer,ethnic
men,loungewear and nightwear,night suits,navy blue,summer,casual
women,innerwear,briefs,white,winter,casual
women,innerwear,briefs,skin,summer,casual
girls,bottomwear,leggings,white,summer,casual
men,topwear,tshirts,orange,fall,sports
women,topwear,kurtas,red,summer,casual
women,bottomwear,salwar and dupatta,pink,fall,ethnic
men,topwear,sweaters,purple,fall,casual
women,topwear,tshirts,blue,fall,casual
men,bottomwear,shorts,navy blue,summer,sports
women,topwear,tshirts,brown,summer,casual
boys,bottomwear,shorts,beige,summer,casual
women,innerwear,briefs,pink,winter,casual
women,bottomwear,capris,white,summer,casual
boys,topwear,tshirts,green,fall,casual
men,bottomwear,track pants,grey,fall,casual
women,loungewear and nightwear,nightdress,blue,winter,casual
women,topwear,tshirts,grey melange,summer,casual
women,dress,dresses,purple,summer,casual
men,bottomwear,shorts,green,summer,sports
men,bottomwear,shorts,charcoal,summer,sports
men,bottomwear,trousers,blue,summer,casual
women,topwear,tshirts,multi,summer,casual
women,innerwear,camisoles,cream,summer,casual
men,topwear,shirts,grey,fall,formal
girls,dress,dresses,pink,summer,casual
men,innerwear,briefs,navy blue,winter,casual
girls,topwear,tops,orange,summer,casual
men,topwear,shirts,pink,fall,formal
girls,topwear,tshirts,blue,fall,casual
women,topwear,kurtas,yellow,fall,ethnic
unisex,topwear,tshirts,blue,summer,casual
women,topwear,kurtas,multi,fall,ethnic
men,innerwear,innerwear vests,black,summer,casual
men,bottomwear,track pants,beige,fall,sports
women,bottomwear,leggings,blue,summer,casual
men,topwear,kurtas,grey,summer,ethnic
men,bottomwear,track pants,grey,summer,sports
women,topwear,tops,maroon,fall,casual
women,loungewear and nightwear,nightdress,coffee brown,winter,casual
men,topwear,tshirts,grey,summer,sports
women,bottomwear,tights,olive,fall,casual
men,innerwear,trunk,grey melange,summer,casual
girls,bottomwear,leggings,black,summer,casual
men,topwear,tshirts,beige,summer,casual
men,bottomwear,trousers,beige,fall,casual
men,bottomwear,trousers,black,summer,formal
women,topwear,kurtis,off white,summer,ethnic
men,bottomwear,trousers,charcoal,summer,casual
women,topwear,jackets,pink,fall,casual
men,topwear,sweatshirts,beige,summer,casual
men,bottomwear,track pants,black,summer,sports
women,bottomwear,churidar,blue,summer,ethnic
men,bottomwear,shorts,cream,summer,casual
men,topwear,tshirts,mustard,summer,casual
women,loungewear and nightwear,lounge tshirts,brown,summer,casual
women,innerwear,bra,purple,winter,casual
men,bottomwear,jeans,blue,spring,casual
women,topwear,waistcoat,blue,summer,casual
men,topwear,sweaters,green,fall,casual
women,bottomwear,capris,grey melange,winter,casual
women,topwear,tops,brown,summer,casual
women,dress,dresses,red,summer,casual
women,loungewear and nightwear,nightdress,pink,winter,casual
women,bottomwear,trousers,khaki,summer,casual
women,topwear,shirts,multi,fall,casual
women,bottomwear,track pants,mauve,summer,casual
men,loungewear and nightwear,night suits,brown,summer,casual
men,topwear,tshirts,orange,winter,casual
women,topwear,shirts,pink,summer,formal
women,topwear,sweaters,grey,summer,casual
men,innerwear,innerwear vests,green,summer,casual
women,topwear,kurtis,pink,fall,ethnic
women,bottomwear,shorts,black,fall,casual
women,topwear,tshirts,pink,fall,sports
men,bottomwear,trousers,navy blue,fall,formal
women,loungewear and nightwear,nightdress,navy blue,summer,casual
women,topwear,tshirts,maroon,summer,casual
women,topwear,shirts,olive,summer,casual
women,topwear,tunics,multi,summer,casual
girls,topwear,tshirts,white,summer,casual
women,innerwear,camisoles,skin,winter,casual
women,topwear,tops,green,fall,casual
men,loungewear and nightwear,lounge pants,charcoal,summer,sports
women,topwear,tshirts,cream,summer,casual
women,saree,sarees,maroon,fall,ethnic
women,loungewear and nightwear,nightdress,purple,summer,casual
women,topwear,shirts,white,summer,formal
women,innerwear,briefs,grey,winter,casual
men,topwear,tshirts,white,winter,casual
girls,topwear,tops,turquoise blue,summer,casual
men,topwear,tshirts,grey melange,summer,casual
women,topwear,tops,orange,summer,casual
women,bottomwear,leggings,black,fall,casual
women,dress,dresses,teal,summer,casual
women,bottomwear,leggings,black,fall,ethnic
women,topwear,sweatshirts,purple,fall,casual
women,topwear,sweaters,peach,fall,casual
men,loungewear and nightwear,night suits,grey,summer,casual
women,topwear,kurtas,coffee brown,summer,ethnic
men,topwear,sweatshirts,purple,fall,casual
women,topwear,tunics,black,fall,casual
women,loungewear and nightwear,nightdress,red,winter,casual
women,topwear,kurtis,blue,summer,ethnic
women,dress,dresses,multi,fall,casual
men,bottomwear,shorts,white,fall,casual
boys,bottomwear,jeans,grey,summer,casual
men,loungewear and nightwear,lounge shorts,red,summer,casual
women,loungewear and nightwear,lounge pants,maroon,winter,casual
women,bottomwear,shorts,purple,summer,sports
girls,topwear,tops,purple,summer,casual
women,topwear,tshirts,pink,fall,casual
men,bottomwear,shorts,beige,summer,casual
women,innerwear,bra,lavender,winter,casual
women,topwear,kurtas,rust,summer,ethnic
women,saree,sarees,brown,summer,ethnic
women,topwear,kurtis,cream,fall,ethnic
men,topwear,tshirts,grey,spring,casual
men,topwear,tshirts,purple,fall,sports
women,topwear,shirts,red,summer,casual
girls,topwear,tops,navy blue,summer,casual
women,bottomwear,stockings,grey,fall,casual
women,bottomwear,skirts,pink,summer,casual
men,innerwear,innerwear vests,navy blue,summer,casual
women,bottomwear,capris,red,winter,casual
women,loungewear and nightwear,night suits,multi,summer,casual
women,loungewear and nightwear,baby dolls,blue,winter,casual
women,innerwear,bra,blue,summer,casual
women,topwear,tunics,blue,fall,casual
